,aluminum_production_1,camo,desertinfantry_at,etax_doctrine,jaegers,jngdst_clothes_gw,r56_guerilla_warfare,r56_gw_railway_gun,r56_militia_tech,r56_railway_mortar_subtech,shocktroops,sniper_rifle,steel_production_1,transport_plane1,winter_clothes_gw,jungletroops
GRE,,1.0,,1.0,,,,,,,,,,1.0,,
GUA,,1.0,,1.0,,,,,,,,,,1.0,,
GXC,,1.0,,1.0,,,,,1.0,,,,,1.0,,
GYA,,1.0,,1.0,,,,,,,,,,1.0,,
HAI,,1.0,,1.0,,,,,,,,,,1.0,,
HAW,,1.0,,1.0,,,,,,,,,,1.0,,
HOL,,1.0,,1.0,,,,,,,,,1.0,1.0,,
HON,,1.0,,1.0,,,,,,,,,,1.0,,
HUN,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,
HYD,,1.0,,1.0,,,,,,,,,,1.0,,
ICE,,1.0,,1.0,,,,,1.0,,,,,1.0,,
INS,,1.0,,1.0,,,,,,,,,,1.0,,
IRE,,1.0,,1.0,,,,,,,,1.0,,1.0,,
IRQ,,1.0,,1.0,,,,,,,,,,1.0,,
ITA,1.0,1.0,,1.0,,,,1.0,,,1.0,,1.0,1.0,,
IVO,,1.0,,1.0,,,,,1.0,,,,,,,
JAM,,1.0,,1.0,,,,,,,,,,1.0,,
JAP,1.0,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,
KEN,,1.0,,1.0,,,,,1.0,,,,,,,
KHI,,1.0,,1.0,,,,,,,,,,,,
KOR,,1.0,,1.0,,,,,,,,,,1.0,,
KUR,,1.0,,1.0,,,,,,,,,,1.0,,
LAO,,1.0,,1.0,,,,,,,,,,,,
LAT,,1.0,,1.0,,,,,,,,,,1.0,,
LBA,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,
LEB,,1.0,,1.0,,,,,1.0,,,,,1.0,,
LIB,,1.0,,1.0,,,,,,,,,,1.0,,
LIT,,1.0,,1.0,,,,,,,,,,1.0,,
MAC,,1.0,,,,,,,,,,,,1.0,,
MAD,,1.0,,1.0,,,,,,,,,,,,
MAL,,1.0,,,,,,,,,,,,1.0,,
MAN,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,
MEX,,1.0,,1.0,,,,,,,,,,1.0,,
MLI,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,
MLT,,1.0,,1.0,,,,,,,,,,1.0,,
MLW,,1.0,,1.0,,,,,1.0,,,,,,,
MNT,,1.0,,1.0,,,,,,,,,,1.0,,
MON,,1.0,,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0
MOR,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,
MRT,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,
MZB,,1.0,,1.0,,,,,,,,,,,,
NEP,,1.0,,1.0,,,,,,,,,,1.0,,
NGA,,1.0,,1.0,,,,,1.0,,,,,,,
NIC,,1.0,,1.0,,,,,,,,,,1.0,,
NIR,,1.0,,1.0,,,,,,,,,1.0,1.0,,
NOR,,,,,,,,,,,,,,,,
NZL,,1.0,,1.0,,,,,,,,,,1.0,,
OMA,,1.0,,1.0,,,,,,,,,,1.0,,
PAK,,1.0,,1.0,,,,,,,,,,1.0,,
PAL,,1.0,,1.0,,,,,,,,,,1.0,,
PAN,,1.0,,1.0,,,,,,,,,,1.0,,
PAR,,1.0,,1.0,,,,,,,,,,1.0,,
PER,,1.0,,1.0,,,,,,,,,,1.0,,
PHI,,1.0,,1.0,,,,,1.0,,,,,1.0,,
PNG,,1.0,,1.0,,,,,,,,,,1.0,,
POL,,1.0,,1.0,,,,,,,,,,1.0,,
POR,,1.0,,1.0,,,,,,,,,,1.0,,
PRU,,1.0,,1.0,,,,,,,,,,1.0,,
PUE,,1.0,,1.0,,,,,,,,,,1.0,,
RAJ,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,1.0,
ROM,,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,
RWA,,1.0,,1.0,,,,,1.0,,,,,,,
SAF,,1.0,,1.0,,,,,,,,,,1.0,,
SAU,,1.0,,1.0,,,,,,,,,,1.0,,
SCA,,1.0,,1.0,,,,,,,,,,1.0,,
SCO,,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,
SER,,1.0,,1.0,,,,,,,,,,1.0,,
SHX,,1.0,,1.0,,,,,1.0,,,,,1.0,,
SIA,,1.0,,1.0,,,,,,,,,,1.0,,
SIC,,1.0,,1.0,,,,,,,,,1.0,1.0,,
SIE,,1.0,,1.0,,,,,1.0,,,,,,,
SIK,,1.0,,1.0,,,,,1.0,,,,,1.0,,
SLO,,1.0,,1.0,,,,,,,,,,1.0,,
SLV,,1.0,,1.0,,,,,,,,,,1.0,,
SOM,,1.0,,1.0,,,,,1.0,,,,,,,
SOV,1.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,1.0,,
SPR,1.0,1.0,,1.0,,,,,,,1.0,,,1.0,,
SUD,,1.0,1.0,1.0,,1.0,,,,,,,,,,
SUR,,1.0,,1.0,,,,,,,,,,1.0,,
SWE,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,
SWI,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,
SYR,,1.0,,1.0,,,,,,,,,,1.0,,
TIB,,1.0,,1.0,,,1.0,,1.0,,,,,,,
TOG,,1.0,,1.0,,,,,,,,,,,,
TRI,,1.0,,1.0,,,,,,,,,,,,
TUN,,,,,,,,,,,,,,,,
TUR,,1.0,,1.0,,,,,,,,,,1.0,,
TZN,,1.0,,1.0,,,,,,,,,,,,
UGA,,1.0,,1.0,,,,,1.0,,,,,,,
UKR,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,
URG,,1.0,,1.0,,,,,,,,,,1.0,,
USA,1.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,1.0,,
VEN,,1.0,,1.0,,,,,,,,,,1.0,,
VIN,,1.0,,1.0,,,,,,,,,,1.0,,
VOL,,1.0,,1.0,,,,,1.0,,,,,,,
WLS,,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,
XSM,,1.0,,1.0,,,1.0,,1.0,,,,,1.0,,
YEM,,1.0,,1.0,,,,,,,,,,1.0,,
YUN,,1.0,,1.0,,,,,1.0,,,,,1.0,,
ZIM,,1.0,,1.0,,,,,1.0,,,,,,,
ADA,,1.0,,1.0,,,,,1.0,,,,,,,
ALO,,1.0,,1.0,,,,,,,,,,,,
AMA,,1.0,,1.0,,,,,,,,,,,,
ANQ,,1.0,,1.0,,,,,,,,,,,,
ANT,,1.0,,1.0,,,,,,,,,,,,
ASM,,1.0,,1.0,,,,,,,,,,,,
ASY,,1.0,,1.0,,,,,,,,,,,,
BAT,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,
BNG,,1.0,,1.0,,,,,,,,,,,,
BOM,,1.0,,1.0,,,,,,,,,,,,
BRT,,1.0,,1.0,,,,,1.0,,,,,,,
CEN,,1.0,,1.0,,,,,,,,,,,,
CEY,,1.0,,1.0,,,,,,,,,,,,
CVG,,1.0,,1.0,,,,,,,,,,,,
DEI,,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0
DKB,,1.0,,1.0,,,,,,,,,,,,
EMI,,1.0,,1.0,,,,,,,,,,,,
ETS,,1.0,,1.0,,,,,1.0,,,,,,,
FNG,,1.0,,1.0,,,,,,,,1.0,1.0,,,
FOP,,1.0,,1.0,,,,,,,,,,,,
FRP,,1.0,,1.0,,,,,,,,,,,,
GAL,,1.0,,1.0,,,,,,,,,,,,
GBP,,1.0,,1.0,,,,,,,,,,,,
GEA,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
GOY,,1.0,,1.0,,,,,,,,,,,,
GRP,,1.0,,1.0,,,,,,,,,,,,
GRU,,1.0,,1.0,,,,,,,,,,,,
GUJ,,1.0,,1.0,,,,,,,,,,,,
HAU,,1.0,,1.0,,,,,1.0,,,,,,,
HEJ,,1.0,,1.0,,,,,1.0,,,,,,,
HND,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,1.0,1.0
HNN,,1.0,,1.0,,,,,,,,,,,,
IKH,,1.0,,1.0,,,,,,,,,,,,
INC,,1.0,,1.0,,,1.0,,,,,,,,,
INR,,1.0,,1.0,,,,,,,,,,,,
JBS,,1.0,,1.0,,,,,,,,,,,,
KAC,,1.0,,1.0,,,,,,,,,,,,
KAS,,1.0,,1.0,,,,,,,,,,,,
KBR,,1.0,,1.0,,,,,1.0,,,,,,,
KDR,,1.0,,1.0,,,,,,,,,,,,
KIV,,1.0,,1.0,,,,,1.0,,,,,,,
KTG,,1.0,,1.0,,,,,1.0,,,,,,,
KUM,,1.0,,1.0,,,,,1.0,,,,,,,
LEC,,1.0,,1.0,,,,,,,,,,,,
LEP,,1.0,,1.0,,,,,1.0,,,1.0,1.0,,,
LOM,,1.0,,1.0,,,,,,,,,,,,
MAF,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
MDR,,1.0,,1.0,,,,,1.0,,,,,,,
MYS,,1.0,,1.0,,,,,,,,,,,,
NEE,,1.0,,1.0,,,,,,,,,,,,
NFA,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,1.0
NGF,,1.0,,1.0,,,,,,,,,,,,
NGR,,1.0,,1.0,,,,,1.0,,,,,,,
NMB,,1.0,,1.0,,,,,1.0,,,,,,,
ORI,,1.0,,1.0,,,,,,,,,,,,
PAP,,1.0,,1.0,,,,,,,,,,,,
PIR,,1.0,,1.0,,,,,,,,,,,,
PJB,,1.0,,1.0,,,,,,,,,,,,
PRF,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,1.0
PSA,,1.0,,1.0,,,,,,,,,,,,
QIE,,1.0,,1.0,,,,,,,,1.0,1.0,,,
QUE,,1.0,,1.0,,,,,,,,,,,,
RHI,,1.0,,1.0,,,,,,,,,,,,
RJS,,1.0,,1.0,,,,,,,,,,,,
RUS,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
SAR,,1.0,,1.0,,,,,,,,,,,,
SEN,,1.0,,1.0,,,,,1.0,,,,,,,
SHA,,1.0,,1.0,,,,,,,,,,,,
SIB,,1.0,,1.0,,,,,,,,,,,,
SPA,,1.0,,1.0,,,,,,,,,,,,
SPO,,1.0,,1.0,,,,,,,,,,,,
SQI,,1.0,,1.0,,,,,,,,,,,,
SRD,,1.0,,1.0,,,,,,,,,,,,
SRI,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,,
SWF,,1.0,,1.0,,,,,,,,,,,,
SZC,,1.0,,1.0,,,,,,,,,,,,
TAI,,1.0,,1.0,,,,,,,,,,,,
TEX,,1.0,,1.0,,,,,,,,,,,,
TKE,,1.0,,1.0,,,,,1.0,,,,,,,
TRK,,1.0,,1.0,,,,,,,,,,,,
TRM,1.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,
TRP,,1.0,,1.0,,,,,,,,,,,,
TRS,,1.0,,1.0,,,,,,,,,,,,
TRU,,1.0,,1.0,,,,,,,,,,,,
TRV,,1.0,,1.0,,,,,,,,,,,,
TUS,,1.0,,1.0,,,,,,,,,,,,
VCR,,1.0,,1.0,,,,,,,,,,,,
VNC,,1.0,,1.0,,,,,,,,,,,,
WAL,,1.0,,1.0,,,,,,,,,,,,
WHR,,1.0,,1.0,,,,,,,,,,,,
WIF,,1.0,,1.0,,,,,,,,,,,,
XXA,,1.0,,1.0,,,,,,,,,,,,
YUC,,1.0,,1.0,,,,,1.0,,,,,,,
ZAM,,1.0,,1.0,,,,,1.0,,,,,,,
ZZB,,1.0,,1.0,,,,,1.0,,,,,,,
PRE,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,
